population_group_name,measure_name,location_name,cause_name,metric_name,year,val,upper,lower
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Unintentional injuries,Percent,2023,0.068510808,0.078782844,0.059522715
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Falls,Number,2023,20325071.93,26135432.73,15720183.93
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Falls,Percent,2023,0.04242837,0.049521262,0.035841471
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Drowning,Number,2023,1001527.537,1058280.519,943655.1916
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Drowning,Percent,2023,0.002105046,0.002390816,0.001852759
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,"Fire, heat, and hot substances",Number,2023,1269770.543,1792394.03,953383.4116
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,"Fire, heat, and hot substances",Percent,2023,0.002655352,0.00352077,0.002102824
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Unintentional firearm injuries,Number,2023,161717.7198,200115.0898,125563.616
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Unintentional firearm injuries,Percent,2023,0.000338967,0.000407909,0.000273691
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Other exposure to mechanical forces,Number,2023,2444512.568,3445783.227,1752874.58
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Other exposure to mechanical forces,Percent,2023,0.005100945,0.006798006,0.003951747
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Adverse effects of medical treatment,Number,2023,572469.6606,629269.2777,526198.7664
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Adverse effects of medical treatment,Percent,2023,0.001201855,0.001341653,0.001070148
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Animal contact,Number,2023,159691.5158,230841.3494,115239.4767
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Animal contact,Percent,2023,0.000333475,0.000441474,0.000259036
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Venomous animal contact,Number,2023,52871.46818,65464.59131,41596.79416
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Venomous animal contact,Percent,2023,0.000110459,0.000128116,9.36E-05
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Non-venomous animal contact,Number,2023,106820.0476,164300.6461,72440.28395
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Non-venomous animal contact,Percent,2023,0.000223016,0.000323142,0.000159164
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Foreign body,Number,2023,1349433.181,1470683.4,1245555.093
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Foreign body,Percent,2023,0.002832098,0.003094353,0.002592285
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Pulmonary aspiration and foreign body in airway,Number,2023,1118714.871,1181889.533,1052086.137
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Pulmonary aspiration and foreign body in airway,Percent,2023,0.00235134,0.002644995,0.002084965
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Foreign body in eyes,Number,2023,99058.49354,155564.2791,58773.73321
All Population,DALYs (Disability-Adjusted Life Years),World Bank High Income,Foreign body in eyes,Percent,2023,0.000206218,0.000298331,0.000127687
